id;marca;modelo;anio;placas;color;tipo;estado;kilometraje
1;follower woot eek;oof weep;13998;out;ocre;common alongside;mechanically tame minus;8999
2;aboard;unsteady;30409;ugh information;verde oliva;backbone how formation;fast amidst;31800
3;interior;astride towards ownership;10001;ah;magenta;splosh geez however;physically after even;26070
4;forenenst whoa zowie;cassava;20129;separately pillow;dorado;stay;brightly;18182
5;out;clearly but upbeat;5463;unaccountably following;terracota;rim;phew;26196
6;aw er mystify;likely although;14368;impressionable;dorado;anticodon;how arrogantly ah;20604
7;zesty incidentally;since meal;31934;headline;púrpura;endow ha light;galoshes;24167
8;gee as;woot best-seller gladly;18245;anti gadzooks if;índigo;inquisitively frizz amount;lock er cutover;19460
9;embed;ham analyse boohoo;18749;as;lavanda;bracelet baptise than;innocent hm next;18808
10;fake;stabilise rubbery;11444;certainly rigidly;índigo;than unwieldy indeed;aw lecture;21857
