id;nivel_actual;tipo;fecha_registro
1;2021.54;oof;2025-04-10T12:02:58
2;3129.17;sans worthless around;2025-04-10T06:34:32
3;27205.85;an how alliance;2025-04-10T03:57:47
4;12225.35;postbox downchange;2025-04-10T16:11:44
5;4633.62;gee aw;2025-04-10T11:26:22
6;6844.7;although;2025-04-10T11:45:20
7;11862.6;minor boohoo puritan;2025-04-10T07:53:30
8;22752.75;incidentally embarrassment bathrobe;2025-04-10T18:47:03
9;26389.59;bestride bonnet;2025-04-10T21:02:06
10;4969.04;reassuringly consequently;2025-04-10T21:47:19
