id;tipo;descripcion;fecha;costo
1;that devoted bump;willing towards;2025-04-10T20:59:14;28502.2
2;awkwardly;for selfishly happy;2025-04-10T13:55:56;24138.9
3;where until;unto amongst surprisingly;2025-04-10T19:20:38;5628.23
4;of putrefy;violin who familiarize;2025-04-10T07:00:18;16852.05
5;notwithstanding;larva who;2025-04-10T23:23:40;24653.75
6;secrecy cap before;recede scale;2025-04-10T15:46:50;6399.72
7;whereas;dampen;2025-04-10T07:17:55;5652.86
8;inside over certainly;when;2025-04-10T11:34:47;8942.48
9;opposite;where notwithstanding;2025-04-10T06:52:12;20429.21
10;although impanel;monumental pfft well-to-do;2025-04-10T18:14:05;21515.88
