id;fecha_inicio;fecha_fin;precio_total;estado
1;2025-04-10T04:31:21;2025-04-10T20:10:27;28255.77;noisily
2;2025-04-10T10:39:33;2025-04-10T19:13:14;31064.08;instead lest
3;2025-04-10T18:34:37;2025-04-10T13:30:25;5955.19;quarrelsome
4;2025-04-10T16:23:34;2025-04-10T10:26:24;13852.73;skean lay
5;2025-04-10T00:24:15;2025-04-10T06:01:04;22528.26;psst gastropod quicker
6;2025-04-10T01:42:23;2025-04-10T17:24:55;19221.91;expert
7;2025-04-10T08:53:45;2025-04-10T07:03:51;8550.47;pfft
8;2025-04-10T06:43:21;2025-04-10T20:56:38;19395.85;colorfully supposing midst
9;2025-04-10T00:23:24;2025-04-10T02:00:13;16283;honored
10;2025-04-10T01:01:21;2025-04-10T01:40:48;29856.27;ick ouch
